# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2023-02-15T03:06:00   105481  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.3   83.810417  -5.375111  202.8  63.8  199.98 0
2023-02-15T03:26:16   105483  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.2   83.810417  -5.375111  212.7  61.5  199.98 0
2023-02-15T03:42:52   105485  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.8   83.810417  -5.375111  219.7  59.2  199.98 0
2023-02-15T03:57:45   105487  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.9   83.810417  -5.375111  225.1  56.8  199.98 0
2023-02-15T04:04:32   105491  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.4   83.810417  -5.375111  227.3  55.6  199.98 0
2023-02-15T04:19:46   105501  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.4   83.810417  -5.375111  231.8  52.9  199.98 0
2023-02-15T04:22:44   105503  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.6   83.810417  -5.375111  232.6  52.3  199.98 0
2023-02-15T04:37:27   105513  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      28.0   83.810417  -5.375111  236.3  49.5  199.98 0
2023-02-15T04:40:02   105515  SEQ        Pointing     Map(Az/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.4   83.810417  -5.375111  236.9  49.0  199.98 0
2023-02-15T05:13:11   105525  SEQ        Pointing     Map(Az/D)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      83.0   83.810417  -5.375111  243.6  42.2  239.76 0
2023-02-15T05:18:10   105527  SEQ        Pointing     Map(Az/D)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5     145.8   83.810417  -5.375111  244.4  41.1  239.76 0
2023-02-15T05:29:52   105529  SEQ        Pointing     Map(Ra/C)   Ori-KL                    2023S1SEQUOIACommissioning      86.2434    -5      27.9   83.810417  -5.375111  246.4  38.6  199.98 0
2023-02-15T05:39:08   105531  SEQ        Pointing     Map(Az/D)   VY-CMa                    2023S1SEQUOIACommissioning      86.2434    22      86.2  110.743037 -25.767565  205.7  40.6  239.76 0
2023-02-15T05:46:50   105533  SEQ        Pointing     Map(Az/D)   VY-CMa                    2023S1SEQUOIACommissioning      86.2434    22      83.4  110.743037 -25.767565  207.7  39.8  239.76 0
2023-02-15T06:16:57   105535  SEQ        Pointing     Map(Az/D)   W-Leo                     2023S1SEQUOIACommissioning      86.2434    47      84.0  163.405969  13.715102  101.2  68.4  239.76 0
2023-02-15T06:20:47   105537  SEQ        Pointing     Map(Az/D)   T-Vir                     2023S1SEQUOIACommissioning      86.2434     6      83.2  183.652841  -6.035764  117.8  42.3  239.76 0
2023-02-15T06:24:32   105539  SEQ        Pointing     Map(Az/D)   RT-Vir                    2023S1SEQUOIACommissioning      86.2434    14      87.4  195.658265   5.185566   98.3  37.3  239.76 0
2023-02-15T06:28:24   105541  SEQ        Pointing     Map(Az/D)   S-Vir                     2023S1SEQUOIACommissioning      86.2434    -7      83.9  203.250460  -7.194733  108.7  26.4  239.76 0
